# With 10 classes, 629 OP, 706 DP, in seconds, 5 roots
10 1.303 1.281 1.308 1.258 1.276 1.267 1.267 1.259 1.32 1.318
# With 50 classes, 629 OP, 706 DP, 12 roots
50 1.995 2.121 2.303 2.024 2.178 1.952 2.061 1.996 1.972 1.988
# With 100 classes, 629 OP, 706 DP, 17 roots
100 2.503 2.34 2.412 2.338 2.449 2.401 2.498 2.606 2.383 2.444
# With 180 classes, 629 OP, 706 DP, 24 roots
180 3.108 3.059 2.953 3.039 3.03 3.449 2.941 3.048 3.03 3.072
# With 272 classes, 629 OP, 706 DP, 21 roots
272 3.88 3.901 3.948 3.94 3.862 4.075 3.865 4.124 3.917 4.086
