# With 10 classes, 629 OP, 706 DP, in seconds, 5 roots
10 8.96  8.76  8.92  8.97  8.41  8.88  8.85  8.98  8.80  8.77 
# With 50 classes, 629 OP, 706 DP, 12 roots
50 12.67  12.65  13.07  13.18  13.09  11.95  13.13  12.02  12.76  12.50 
# With 100 classes, 629 OP, 706 DP, 17 roots
100 13.22  12.96  13.22  12.76  14.51  13.23  14.29  14.41  13.97  14.13 
# With 180 classes, 629 OP, 706 DP, 24 roots
180 15.18  15.01  14.98  15.55  15.50  15.68  15.53  15.05  14.49  14.82 
# With 272 classes, 629 OP, 706 DP, 21 roots
272 11.18  11.13  11.21  11.17  11.14  11.22  10.30  11.34  11.45 12.06 
